Field_ID,Region,Latitude,Longitude,Area_wedge,Area_up,mean_elev,range_elev,std_elev,max_slope,min_slope,range_slope,mean_slope,std_slope,mean_aspect,mean_sand,mean_silt,mean_clay,Wetlands,Area_ratio,WTI,Rugg,Alluvium%,Bouldery%,Alluvium_km2,Bouldery_area_km2,Buffer_Area_km2,D_Bedrock,Small_Tribes
TB-01,Neversink,41.90186738,-74.58086374,1.202425665,166.7674634,547.7533991,253.9327393,69.31475287,39.71455765,0.017847039,39.69671061,11.99540308,8.080575843,233.4924841,46.99986152,36.01531548,9.835774387,14.12700916,0.007210193,4.162222535,0.504784933,34.93039933,0,0.420013084,0,1.202428521,25,4
TB-02,Neversink,41.94769073,-74.57144689,1.009935955,81.30833089,594.8563486,238.4852295,50.12571296,45.49873734,0.063569412,45.43516792,13.91174321,6.705906186,226.1413856,42.58360166,40.88030436,10.12782855,0,0.012421064,3.811444141,0.498212993,20.81822084,0,0.21025071,0,1.009936013,1.48,2
TB-03,Neversink,41.93573434,-74.57504842,1.679967542,85.95453264,611.8933425,263.3204651,62.13582011,43.81173706,0.028107423,43.78362964,13.48759954,8.382859888,206.3617168,42.94612755,39.52257754,10.2476056,2.498461887,0.019544839,3.516821606,0.493836634,7.296700963,0,0.122582271,0,1.679968412,3.84,3
TB-04,Neversink,41.94112707,-74.50009195,1.12153523,44.29631686,637.6561706,144.3329468,38.4965355,37.82472992,0.010570466,37.81415945,10.12852314,6.419737504,204.854022,43.72861994,38.55026084,10.51224255,0,0.025318927,4.150350041,0.497832531,15.0318296,31.15784904,0.168587273,0.349446272,1.121535288,1.53,5
TB-05,Neversink,41.93818444,-74.51683922,1.304296128,51.84781971,632.9411589,226.149231,52.15328624,47.1852684,0.064169809,47.12109859,11.89135902,6.064193124,175.7246747,43.45727624,39.24974712,10.17714193,0,0.025156239,4.010942515,0.498715771,10.01996552,40.17879633,0.130690004,0.524050413,1.304295948,1.5,3
TB-06,Neversink,41.93565839,-74.52846989,1.360088776,55.46192111,622.6764822,220.6868896,55.2558918,47.1852684,0.023089927,47.16217848,12.64407898,6.13091416,224.392896,43.30680927,38.92100407,10.12620663,1.389144421,0.024522929,3.724998469,0.498228697,15.34427401,34.23253929,0.208695741,0.465592909,1.36008873,1.5,5
TB-07,Neversink,41.92491035,-74.54029807,0.913906492,59.55362264,591.1370599,199.0518799,47.73082756,38.41687393,0.042220801,38.37465313,12.98094472,7.514039177,217.3646249,46.59047239,36.16395582,9.68976561,0,0.015345943,3.827900928,0.501515262,19.37454257,11.51422688,0.177065209,0.105229271,0.913906527,1.54,2
TB-08,Neversink,41.91957022,-74.56513551,1.048294416,70.02272663,561.5561291,208.1890564,53.98219385,34.65637207,0.030314472,34.6260576,12.09874073,7.782828114,208.2834175,46.7107812,36.19327681,9.791934874,3.859392555,0.014970774,4.682018778,0.501922719,30.05999686,0,0.315117267,0,1.048294412,21.6,2
TB-09,Neversink,41.95287009,-74.55649677,1.22939659,66.48552526,611.3071877,216.9196167,48.89544665,33.20923996,0.102340221,33.10689974,10.88428119,4.928023906,196.7771029,41.60281608,41.58405105,10.52004521,0,0.018491192,4.056545984,0.492943791,16.41181428,0,0.201766282,0,1.229396569,10,3
TB-10,Neversink,41.95940871,-74.43428039,0.856361907,1.877800715,823.020278,182.5021973,32.26567981,32.60624695,0.12758787,32.47865908,10.51688483,5.237670472,244.8702021,46.08080248,39.70891019,10.23398735,0,0.456045149,4.395023849,0.494768824,0,0,0,0,0.856361895,2.51,2
TB-11,Neversink,41.96147295,-74.44697383,0.557886283,2.822501072,746.7478144,194.8839111,32.519107,38.24731064,0.070992857,38.17631778,9.976758208,6.274380626,261.0957643,42.30360089,40.61413303,11.03877118,0,0.197656713,4.303852894,0.512965012,1.604094692,0,0.008949024,0,0.557886268,3.07,2
TB-12,Neversink,41.97165329,-74.52545198,0.399691667,0.968400383,657.924842,180.8527222,50.68995414,27.92271042,0,27.92271042,9.788085865,5.213028973,293.4775433,40.36101757,40.05674597,10.87499626,0,0.4127339,4.511759724,0.507846725,13.16046563,0,0.05260128,0,0.39969163,8,2
TB-13,Neversink,41.95697967,-74.47942561,1.366062995,36.59541394,677.3275503,239.2529297,48.43798542,31.8995285,0.001441873,31.89808663,10.79013839,4.607692855,232.2201768,43.85749556,39.07580336,10.35387272,0,0.037328803,4.40486584,0.500859165,18.14381674,30.11847405,0.247855965,0.411437326,1.366062985,1.58,6
TB-14,Neversink,41.97013032,-74.40722114,0.977724589,1.447500557,932.6850242,303.0706177,69.44885995,42.45389557,2.232607126,40.22128844,21.57018867,5.991038876,207.0029044,48.71284516,40.7633289,9.029423918,0,0.675457142,2.77635892,0.495002009,3.354042351,0,0.032793286,0,0.97772426,2.81,2
TB-15,Neversink,41.95743297,-74.48751151,0.735130781,1.622400639,722.2746533,234.5164185,45.44727656,33.77823257,1.570535302,32.20769727,13.21202424,4.87741033,148.4867897,45.41940575,39.29937853,10.2182777,0,0.453112975,3.628786676,0.51261204,0,40.28127209,0,0.296120073,0.735130887,1.58,2
TB-16,Neversink,41.97031203,-74.51589703,0.904079466,1.689000633,756.269724,231.5495605,50.63422516,36.12314987,0.265976131,35.85717374,12.33968234,6.017652226,272.4034621,44.22750633,40.13134939,9.999500762,0,0.535274794,3.783179954,0.49728559,0.366840823,0,0.003316532,0,0.904079397,6,3
TB-17,Neversink,41.97807884,-74.37952776,0.730068175,0.767000304,981.2307893,239.9897461,49.02463602,37.0651207,0.604732156,36.46038854,13.58392927,5.562558747,193.5736626,47.91826462,40.03413172,9.366748235,0,0.951848613,3.319403261,0.496916232,0.095272332,0,0.000695553,0,0.73006811,5.52,1
TB-18,Neversink,41.97900581,-74.40006612,1.42537647,9.257203532,853.2347696,342.1333008,69.72398526,36.73048019,0.102244481,36.62823571,16.70990324,6.037815162,206.7714669,46.89554977,39.84343284,9.664693356,0,0.153974844,3.305272453,0.49702248,8.189581493,27.29668533,0.116732365,0.389080522,1.425376441,2.49,5
TB-19,Neversink,41.97412065,-74.52268603,1.512753136,54.67322076,637.2675173,181.958374,44.22939709,47.00907135,0.000349706,47.00872164,10.78447949,6.914558866,196.7909522,42.98889954,39.88299058,10.41006051,4.01041891,0.027668996,3.977918695,0.500031765,22.35715056,9.519034255,0.338208524,0.143999501,1.51275326,8,4
TB-20,Neversink,41.96229672,-74.54009321,0.974534771,59.27142249,619.2704842,209.0936279,43.45317874,38.82670593,0.002021234,38.8246847,10.77923745,6.139664529,184.5484959,40.9979062,41.27224543,10.81701265,0,0.016441899,4.430175719,0.494334707,23.52148827,0,0.229225075,0,0.974534742,22.8,4
TB-21,Neversink,41.96976775,-74.44287568,1.221862593,22.92680874,727.2297758,226.2139893,43.09814065,33.11995697,0.017225001,33.10273197,10.90735803,4.90140869,223.9389655,44.66173839,38.90669666,10.39814694,0,0.053294054,3.858515171,0.510992639,13.55519063,27.55755227,0.165625803,0.336715422,1.22186259,4.29,4
